slug,skill_name,source,installs,trust,score
agent-browser,agent-browser,/vercel-labs/agent-browser,252,9.6,0.655
brainstorming,brainstorming,/obra/superpowers,77,9.5,0.564
context7-docs-lookup,context7-docs-lookup,/upstash/context7,61,8.5,0.522
doc-coauthoring,doc-coauthoring,/anthropics/skills,453,8.5,0.671
docx,docx,/anthropics/skills,539,8.5,0.684
executing-plans,executing-plans,/obra/superpowers,43,9.5,0.521
find-skills,find-skills,/vercel-labs/skills,125,9.6,0.602
gh-cli,gh-cli,/github/awesome-copilot,45,8.2,0.642
mermaid-diagrams,mermaid-diagrams,/softaworks/agent-toolkit,22,6,0.535
next-best-practices,next-best-practices,/vercel-labs/next-skills,121,9.6,0.600
pdf,pdf,/anthropics/skills,1K,8.5,0.730
pptx,pptx,/anthropics/skills,474,8.5,0.674
react-email,react-email,/resend/react-email,45,9.5,0.524
session-handoff,session-handoff,/softaworks/agent-toolkit,1,6,
shadcn,shadcn,/shadcn/ui,13,9.2,0.522
supabase-postgres-best-practices,supabase-postgres-best-practices,/supabase/agent-skills,37,10,0.540
systematic-debugging,systematic-debugging,/obra/superpowers,54,9.5,0.538
tailwind-v4-shadcn,tailwind-v4-shadcn,/jezweb/claude-skills,82,9.7,0.574
test-driven-development,test-driven-development,/obra/superpowers,46,9.5,0.526
update-docs,update-docs,/vercel/next.js,159,10,0.630
vercel-react-best-practices,vercel-react-best-practices,/vercel-labs/agent-skills,1.5K,9.6,0.788
web-perf,web-perf,/cloudflare/skills,40,8.8,0.498
webapp-testing,webapp-testing,/anthropics/skills,759,8.5,0.710
writing-plans,writing-plans,/obra/superpowers,47,9.5,0.528
requesting-code-review,requesting-code-review,/obra/superpowers,25.5K,9.5,0.865
receiving-code-review,receiving-code-review,/obra/superpowers,20.4K,9.5,0.852
verification-before-completion,verification-before-completion,/obra/superpowers,20.2K,9.5,0.851
using-git-worktrees,using-git-worktrees,/obra/superpowers,19.1K,9.5,0.845
git-commit,git-commit,/github/awesome-copilot,15.0K,8.2,0.781
finishing-a-development-branch,finishing-a-development-branch,/obra/superpowers,17.0K,9.5,0.837
ai-sdk,ai-sdk,/vercel/ai,11.9K,10,0.757
xlsx,xlsx,/anthropics/skills,530,8.5,0.683
deploy-to-vercel,deploy-to-vercel,/vercel-labs/agent-skills,9.5K,9.6,0.809
claude-automation-recommender,claude-automation-recommender,/anthropics/claude-plugins-official,132,8.5,0.720
using-superpowers,using-superpowers,/obra/superpowers,30.9K,9.5,0.880
claude-md-improver,claude-md-improver,/anthropics/claude-plugins-official,11.2K,9.5,0.850
github-actions-templates,github-actions-templates,/wshobson/agents,5.6K,9.5,0.728
python-performance-optimization,python-performance-optimization,/wshobson/agents,11.7K,9.5,0.570
uv-package-manager,uv-package-manager,/wshobson/agents,4.4K,9.5,0.558
prisma-database-setup,prisma-database-setup,/prisma/skills,2.8K,10,0.850
better-auth-best-practices,better-auth-best-practices,/better-auth/skills,26.1K,10,0.850
dispatching-parallel-agents,dispatching-parallel-agents,/local/custom,0,0,0
subagent-driven-development,subagent-driven-development,/local/custom,0,0,0
writing-skills,writing-skills,/local/custom,0,0,0
self-improving-agent,self-improving-agent,/local/custom,0,0,0
gemini,gemini,/local/custom,0,0,0
react-19,react-19,/gentleman-programming/gentleman-skills,66,10,0.850
tanstack-query-best-practices,tanstack-query-best-practices,/deckardger/tanstack-agent-skills,2.1K,9.5,0.800
firecrawl-scrape,firecrawl-scrape,/firecrawl/cli,6K,10,0.850

bun,bun,/bun.sh/bun,193,10,0.850
